name,nationality,date,style,new_filename,title
Alfred Sisley,"French,British",1868,Impressionism,83416.jpg,Path near the Parc de Courances
Alfred Sisley,"French,British",1897,PostImpressionism,14069.jpg,Geese
Alfred Sisley,"French,British",1865,Realism,90605.jpg,Chestnut Avenue in La Celle Saint Cloud
Amedeo Modigliani,Italian,1918,Expressionism,74807.jpg,The Black Dress
Andy Warhol,American,1986,PopArt,84493.jpg,Self-Portrait (Camouflage)
Andy Warhol,American,1956,Primitivism,95863.jpg,Cherub and Horse
Camille Pissarro,French,1890,Impressionism,82913.jpg,"Kensington Gardens, London"
Camille Pissarro,French,1864,Realism,49943.jpg,The Marne at Chennevieres
Claude Monet,French,1884,Impressionism,38074.jpg,The Valley of the Nervia with Dolceacqua
Claude Monet,French,1866,Realism,94511.jpg,Camille (also known as The Woman in a Green Dress)
Edgar Degas,French,1896,Impressionism,100106.jpg,Pink Dancer
Edgar Degas,French,1855,Realism,52531.jpg,Portrait of Rene De Gas
Edouard Manet,French,1881,Impressionism,76691.jpg,Bench
Edouard Manet,French,1880,Realism,84070.jpg,The ham
Edvard Munch,Norwegian,1915,Expressionism,9741.jpg,Towards the Forest II
Edvard Munch,Norwegian,1890,Impressionism,62830.jpg,View over the Rover at St.Cloud
Edvard Munch,Norwegian,1883,Realism,95653.jpg,Aunt Karen in the Rocking Chair
Edvard Munch,Norwegian,1895,Symbolism,89281.jpg,Moon Light
Eugene Delacroix,French,1862,Orientalism,81970.jpg,Tiger and Snake
Eugene Delacroix,French,1830,Romanticism,58844.jpg,The Liberty Leading the People 
Francisco Goya,Spanish,1819,Romanticism,88143.jpg,Christ on the Mount of Olives
Gustave Courbet,French,1859,Realism,25865.jpg,The German Huntsman
Gustave Courbet,French,1844,Romanticism,94932.jpg,The Man Made Mad by Fear
Henri Matisse,French,1916,Cubism,75146.jpg,Bathers by a River
Henri Matisse,French,1916,Expressionism,81652.jpg,Goldfish
Henri Matisse,French,1896,Impressionism,33982.jpg,Belle Ile
Henri Matisse,French,1912,Orientalism,36400.jpg,Zorah on the Terrace
Henri Matisse,French,1917,PostImpressionism,56949.jpg,he Music Lesson
Henri Matisse,French,1903,Realism,71957.jpg,Studio under the Eaves 
Henri de Toulouse-Lautrec,French,1893,ArtNouveau,31788.jpg,The Box with the Guilded Mask
Henri de Toulouse-Lautrec,French,1880,Impressionism,102281.jpg,C leyran View of the Vignards
Henri de Toulouse-Lautrec,French,1896,PostImpressionism,5189.jpg,"Woman at Her Toilette them, Washing Herself"
Henri de Toulouse-Lautrec,French,1882,Realism,4465.jpg,Woman in Prayer
Hieronymus Bosch,Dutch,1515,NorthernRenaissance,54375.jpg,The Garden of Earthly Delights  (detail)
Joan Miro,Spanish,1919,Cubism,62742.jpg,Portrait of a Spanish Dancer
Joan Miro,Spanish,1919,Primitivism,42923.jpg,Mont-roig Vineyards and Olive Tree
Joan Miro,Spanish,1924,Surrealism,36685.jpg,Bottle of Vine
Leonardo da Vinci,Italian,1474,EarlyRenaissance,73623.jpg,Study of hands
Leonardo da Vinci,Italian,1500,HighRenaissance,62975.jpg,Drawing of an flood
Marc Chagall,"French,Jewish,Belarusian",1917,Cubism,101621.jpg,The painter to the moon
Marc Chagall,"French,Jewish,Belarusian",1957,Expressionism,91067.jpg,The street performers in the night
Marc Chagall,"French,Jewish,Belarusian",1915,Primitivism,6814.jpg,Window in the Country
Marc Chagall,"French,Jewish,Belarusian",1942,Surrealism,28625.jpg,Madonna of village
Pablo Picasso,Spanish,1901,ArtNouveau,39364.jpg,Courtesan with necklace of gems
Pablo Picasso,Spanish,1927,Cubism,54738.jpg,Seated woman
Pablo Picasso,Spanish,1903,Expressionism,70815.jpg,The soup
Pablo Picasso,Spanish,1899,Impressionism,26918.jpg,Portrait of Josep Cardona
Pablo Picasso,Spanish,1905,PostImpressionism,80727.jpg,"At ""Lapin Agile"" (Harlequin with Glass)"
Pablo Picasso,Spanish,1903,Primitivism,99854.jpg,Dinner time (Evocation of Horta d'Ebre)
Pablo Picasso,Spanish,1896,Realism,16800.jpg,Quarries
Pablo Picasso,Spanish,1929,Surrealism,24125.jpg,Seated bather on the beach
Pablo Picasso,Spanish,1904,Symbolism,48473.jpg,Woman with raven
Paul Cezanne,French,1899,Cubism,54012.jpg,Turning Road at Montgeroult
Paul Cezanne,French,1870,Impressionism,25510.jpg,Still Life Skull and Waterjug
Paul Cezanne,French,1895,PostImpressionism,22331.jpg,Self-Portrait
Paul Cezanne,French,1866,Romanticism,18473.jpg,Still Life Bread and Leg of Lamb
Paul Gauguin,French,1882,Impressionism,38153.jpg,Blue Barge
Paul Gauguin,French,1886,PostImpressionism,96559.jpg,Lollichon Field
Paul Klee,"German,Swiss",1919,Cubism,76899.jpg,Summer houses
Paul Klee,"German,Swiss",1940,Expressionism,25868.jpg,Mess of fish 
Paul Klee,"German,Swiss",1938,Surrealism,11231.jpg,A swarming 
Peter Paul Rubens,Flemish,1606,Baroque,2676.jpg,The Trinity Adored By The Duke of Mantua And His Family
Pierre-Auguste Renoir,French,1891,Impressionism,26194.jpg,Two Young Girls Reading
Pierre-Auguste Renoir,French,1895,Orientalism,69374.jpg,Odalisque
Pierre-Auguste Renoir,French,1886,PostImpressionism,18197.jpg,Umbrellas
Pierre-Auguste Renoir,French,1866,Realism,31122.jpg,The Fairies Pond
Raphael,Italian,1518,HighRenaissance,31350.jpg,St. Michael Overwhelming the Demon
Rembrandt,Dutch,1628,Baroque,99419.jpg,Self-portrait leaning forward bust
Rene Magritte,Belgian,1923,Cubism,82740.jpg,Three nudes in an interior
Rene Magritte,Belgian,1948,PostImpressionism,90203.jpg,The staging post
Rene Magritte,Belgian,1943,Surrealism,96986.jpg,The smile 
Salvador Dali,Spanish,1926,Cubism,88926.jpg,Homage to Erik Satie
Salvador Dali,Spanish,1923,Expressionism,5110.jpg,Roma from Figueres
Salvador Dali,Spanish,1921,Impressionism,62382.jpg,"Cadaques, seen from behind"
Salvador Dali,Spanish,1920,PostImpressionism,3870.jpg,"Portrait of the Artist's Mother, Dofia Felipa Dome Domenech De, Dali"
Salvador Dali,Spanish,1954,Realism,64410.jpg,Gala Contemplate Corpus Hypercubus
Salvador Dali,Spanish,1927,Surrealism,47943.jpg,Harlequin
Salvador Dali,Spanish,1981,Symbolism,8261.jpg,Figures (Scene after Goya)
Titian,Italian,1510,HighRenaissance,62173.jpg,Saint Mark Enthroned
Titian,Italian,1546,LateRenaissance,69479.jpg,Portrait of Pope Julius II
Vincent van Gogh,Dutch,1887,PostImpressionism,84980.jpg,Self-Portrait
Vincent van Gogh,Dutch,1885,Realism,73961.jpg,Woodcutter
William Turner,British,1835,Romanticism,84238.jpg,Two women and a letter
Alfred Sisley,"French,British",1885,Impressionism,31905.jpg,"The Port of Saint Mammes, Morning"
Alfred Sisley,"French,British",1873,Impressionism,3817.jpg,The Seine at Bougival
Alfred Sisley,"French,British",1878,Impressionism,39.jpg,The Seine at Grenelle
Alfred Sisley,"French,British",1880,Impressionism,67988.jpg,Small Meadows in Spring
Alfred Sisley,"French,British",1881,Impressionism,88738.jpg,Near Moret sur Loing
Alfred Sisley,"French,British",1875,Impressionism,25985.jpg,"Sand on the Quayside, Port Marly"
Amedeo Modigliani,Italian,1917,Expressionism,33617.jpg,A girl in yellow dress
Amedeo Modigliani,Italian,1915,Expressionism,95010.jpg,Paul Guillaume 
Amedeo Modigliani,Italian,1918,Expressionism,97892.jpg,Standing nude (Elvira)
Amedeo Modigliani,Italian,1917,Expressionism,89556.jpg,Elena Picard
Amedeo Modigliani,Italian,1913,Expressionism,43694.jpg,Caryatid
Amedeo Modigliani,Italian,1919,Expressionism,99373.jpg,Reclining nude with head resting on right arm
Andy Warhol,American,1972,PopArt,55692.jpg,Mao
Andy Warhol,American,1972,PopArt,102923.jpg,Mao
Andy Warhol,American,1981,PopArt,58461.jpg,Gun
Andy Warhol,American,1983,PopArt,33977.jpg,Ingrid Bergman With Hat
Andy Warhol,American,1966,PopArt,48682.jpg,Cow 
Andy Warhol,American,1984,PopArt,83113.jpg,Botticelli (dettaglio)
Camille Pissarro,French,1879,Impressionism,2763.jpg,"The Auvers Road, Pontoise"
Camille Pissarro,French,1895,Impressionism,9356.jpg,Haymaking
Camille Pissarro,French,1898,Impressionism,66078.jpg,"The Cours la Riene, The Notre Dame Cathedral, Rouen"
Camille Pissarro,French,1872,Impressionism,61626.jpg,Pontoise Dam
Camille Pissarro,French,1900,Impressionism,61250.jpg,"The Bassin des Tuileries, Afternoon"
Camille Pissarro,French,1900,Impressionism,76567.jpg,"Spring Morning, Cloudy, Eragny"
Claude Monet,French,1899,Impressionism,54479.jpg,"Water Lilies, Pink"
Claude Monet,French,1875,Impressionism,41682.jpg,"Poppy Field, Argenteuil"
Claude Monet,French,1882,Impressionism,41060.jpg,Path at Varengeville
Claude Monet,French,1881,Impressionism,25869.jpg,The Sea at Fecamp
Claude Monet,French,1884,Impressionism,6072.jpg,"Banks of the Seine at Jeufosse, Autumn"
Claude Monet,French,1869,Impressionism,103124.jpg,The Bridge at Bougival
Edgar Degas,French,1899,Impressionism,48575.jpg,Russian Dancers
Edgar Degas,French,1862,Impressionism,2936.jpg,Gentlemen Jockeys before the Start
Edgar Degas,French,1872,Impressionism,29248.jpg,Racehorses before the Stands
Edgar Degas,French,1877,Impressionism,20745.jpg,Two Dancers on Stage
Edgar Degas,French,1880,Impressionism,99553.jpg,Two Dancers
Edouard Manet,French,1880,Realism,69593.jpg,The Lemon
Edouard Manet,French,1879,Impressionism,70299.jpg,"In the bar ""Le Bouchon"""
Edouard Manet,French,1882,Impressionism,29353.jpg,Portrait of madame Michel-Levy
Edouard Manet,French,1880,Impressionism,9970.jpg,A young girl
Edouard Manet,French,1880,Impressionism,39896.jpg,Lady in a fur
Edouard Manet,French,1861,Realism,92481.jpg,A boy with a dog
Edvard Munch,Norwegian,1897,Expressionism,78330.jpg,Mother and Daughter
Edvard Munch,Norwegian,1886,Expressionism,53892.jpg,The Sick Child
Edvard Munch,Norwegian,1907,Expressionism,88421.jpg,Cupid and Psyche
Edvard Munch,Norwegian,1921,Expressionism,58836.jpg,The Artist and His Model
Edvard Munch,Norwegian,1905,Expressionism,76798.jpg,From Thuringewald
Edvard Munch,Norwegian,1894,Symbolism,69884.jpg,The Three Stages of Woman (Sphinx).
Eugene Delacroix,French,1863,Romanticism,10780.jpg,The Autumn Bacchus and Ariadne
Eugene Delacroix,French,1861,Romanticism,69142.jpg,The Expulsion of Heliodorus
Eugene Delacroix,French,1831,Romanticism,68774.jpg,Head of a Woman in a Red Turban
Eugene Delacroix,French,1848,Romanticism,55744.jpg,The Entombment of Christ
Eugene Delacroix,French,1821,Romanticism,78233.jpg,Monk at Prayer
Eugene Delacroix,French,1832,Orientalism,76364.jpg,Jewish Bride
Francisco Goya,Spanish,1799,Romanticism,65258.jpg,They Pare
Francisco Goya,Spanish,1815,Romanticism,91769.jpg,"Gumersinda Goicoechea, Goya's Daughter in Law"
Francisco Goya,Spanish,1798,Romanticism,27002.jpg,Asensio Juliá
Francisco Goya,Spanish,1825,Romanticism,6476.jpg,The Divided Arena
Francisco Goya,Spanish,1820,Romanticism,47403.jpg,Time of the Old Women
Francisco Goya,Spanish,1816,Romanticism,39306.jpg,The Speed and Daring of Juanito Apiñani in the Ring of Madrid
Gustave Courbet,French,1849,Realism,93459.jpg,The Stone Breaker
Gustave Courbet,French,1866,Realism,95994.jpg,Calm Sea
Gustave Courbet,French,1869,Realism,167.jpg,The Cliffs at Etretat
Gustave Courbet,French,1855,Realism,70059.jpg,Entering the Forest
Gustave Courbet,French,1862,Realism,30169.jpg,Rocky Landscape
Gustave Courbet,French,1869,Realism,29036.jpg,The Stormy Sea
Henri Matisse,French,1923,Expressionism,95675.jpg,Young Woman Playing Violin
Henri Matisse,French,1912,Expressionism,28586.jpg,"Nasturtiums with ""The Dance"" (II) "
Henri Matisse,French,1921,PostImpressionism,27572.jpg,Moorish Screen
Henri Matisse,French,1939,Expressionism,18126.jpg,Music
Henri Matisse,French,1922,PostImpressionism,57281.jpg,Flowers in front of a Window 
Henri Matisse,French,1911,PostImpressionism,12937.jpg,Goldfish 
Henri de Toulouse-Lautrec,French,1894,ArtNouveau,25028.jpg,The Salon in the Rue des Moulins
Henri de Toulouse-Lautrec,French,1894,ArtNouveau,83366.jpg,Yvette Guilbert Taking a Curtain Call
Henri de Toulouse-Lautrec,French,1890,PostImpressionism,15958.jpg,"Woman in a Black Hat, Berthe la Sourde"
Henri de Toulouse-Lautrec,French,1892,PostImpressionism,11273.jpg,Aristide Bruant on His Bicycle
Henri de Toulouse-Lautrec,French,1890,PostImpressionism,77254.jpg,Seated Woman in the Garden of Mr. Forest Justine Dieuhl
Henri de Toulouse-Lautrec,French,1894,PostImpressionism,19405.jpg,Cassive (Jeanne Hading)
Hieronymus Bosch,Dutch,1504,NorthernRenaissance,59798.jpg,Mankind Beset by Devils (reverse of Noah panel)
Hieronymus Bosch,Dutch,1516,NorthernRenaissance,28197.jpg,The Temptation of St. Anthony (detail)
Hieronymus Bosch,Dutch,1516,NorthernRenaissance,75668.jpg,The Garden of Earthly Delights  (detail)
Hieronymus Bosch,Dutch,1516,NorthernRenaissance,27193.jpg,The Garden of Earthly Delights  (detail)
Hieronymus Bosch,Dutch,1515,NorthernRenaissance,49528.jpg,The Garden of Earthly Delights  (detail)
Hieronymus Bosch,Dutch,1480,NorthernRenaissance,81127.jpg,The Concert in the Egg
Joan Miro,Spanish,1918,Primitivism,19533.jpg,The Waggon Tracks
Joan Miro,Spanish,1945,Surrealism,88111.jpg,The Bull Fight
Joan Miro,Spanish,1934,Surrealism,3892.jpg,Woman (Opera Singer)
Joan Miro,Spanish,1933,Surrealism,96203.jpg,Drawing-Collage with a Hat
Joan Miro,Spanish,1937,Surrealism,14193.jpg,Still Life with Old Shoe
Joan Miro,Spanish,1934,Surrealism,6414.jpg,Character
Leonardo da Vinci,Italian,1504,HighRenaissance,99372.jpg,Studies of Leda and a horse
Leonardo da Vinci,Italian,1500,HighRenaissance,79883.jpg,Drawing of an equestrian monument
Leonardo da Vinci,Italian,1489,EarlyRenaissance,27644.jpg,Comparison of scalp skin and onion
Leonardo da Vinci,Italian,1490,HighRenaissance,8262.jpg,Five caricature heads
Leonardo da Vinci,Italian,1490,HighRenaissance,65235.jpg,The proportions of the head
Leonardo da Vinci,Italian,1505,HighRenaissance,15204.jpg,Head of Leda
Marc Chagall,"French,Jewish,Belarusian",1931,Primitivism,17228.jpg,"The monument on the tomb of Rachel, on the path Ephra (Genesis XXXV, 19 20)"
